stripe index = 0
numRows = 16384, numCols = 16384, numValues = 16384, sparsity = 99.993896484375%, tolerance = 1e-05, totalCycles = 32090, cyclesPerValue = 1.9586181640625
numRows = 16384, numCols = 16384, numValues = 32768, sparsity = 99.98779296875%, tolerance = 1e-05, totalCycles = 63965, cyclesPerValue = 1.952056884765625
numRows = 16384, numCols = 16384, numValues = 49152, sparsity = 99.981689453125%, tolerance = 1e-05, totalCycles = 95957, cyclesPerValue = 1.9522501627604167
numRows = 16384, numCols = 16384, numValues = 65536, sparsity = 99.9755859375%, tolerance = 1e-05, totalCycles = 127961, cyclesPerValue = 1.9525299072265625
numRows = 16384, numCols = 16384, numValues = 81920, sparsity = 99.969482421875%, tolerance = 1e-05, totalCycles = 160682, cyclesPerValue = 1.9614501953125
numRows = 16384, numCols = 16384, numValues = 98304, sparsity = 99.96337890625%, tolerance = 1e-05, totalCycles = 192216, cyclesPerValue = 1.955322265625
numRows = 16384, numCols = 16384, numValues = 114688, sparsity = 99.957275390625%, tolerance = 1e-05, totalCycles = 223591, cyclesPerValue = 1.9495588030133928
numRows = 16384, numCols = 16384, numValues = 131072, sparsity = 99.951171875%, tolerance = 1e-05, totalCycles = 255979, cyclesPerValue = 1.9529647827148438
numRows = 16384, numCols = 16384, numValues = 147456, sparsity = 99.945068359375%, tolerance = 1e-05, totalCycles = 288115, cyclesPerValue = 1.9539048936631944
numRows = 16384, numCols = 16384, numValues = 163840, sparsity = 99.93896484375%, tolerance = 1e-05, totalCycles = 319931, cyclesPerValue = 1.952703857421875
numRows = 16384, numCols = 16384, numValues = 180224, sparsity = 99.932861328125%, tolerance = 1e-05, totalCycles = 351286, cyclesPerValue = 1.9491632634943181
numRows = 16384, numCols = 16384, numValues = 196608, sparsity = 99.9267578125%, tolerance = 1e-05, totalCycles = 383073, cyclesPerValue = 1.9484100341796875
numRows = 16384, numCols = 16384, numValues = 212992, sparsity = 99.920654296875%, tolerance = 1e-05, totalCycles = 415534, cyclesPerValue = 1.9509371243990385
numRows = 16384, numCols = 16384, numValues = 229376, sparsity = 99.91455078125%, tolerance = 1e-05, totalCycles = 446611, cyclesPerValue = 1.9470694405691964
numRows = 16384, numCols = 16384, numValues = 245760, sparsity = 99.908447265625%, tolerance = 1e-05, totalCycles = 478559, cyclesPerValue = 1.9472615559895834
numRows = 16384, numCols = 16384, numValues = 262144, sparsity = 99.90234375%, tolerance = 1e-05, totalCycles = 510899, cyclesPerValue = 1.9489250183105469
numRows = 16384, numCols = 16384, numValues = 278528, sparsity = 99.896240234375%, tolerance = 1e-05, totalCycles = 541879, cyclesPerValue = 1.9455099666819853
numRows = 16384, numCols = 16384, numValues = 294912, sparsity = 99.89013671875%, tolerance = 1e-05, totalCycles = 574011, cyclesPerValue = 1.946380615234375
numRows = 16384, numCols = 16384, numValues = 311296, sparsity = 99.884033203125%, tolerance = 1e-05, totalCycles = 605792, cyclesPerValue = 1.946032072368421
numRows = 16384, numCols = 16384, numValues = 327680, sparsity = 99.8779296875%, tolerance = 1e-05, totalCycles = 637871, cyclesPerValue = 1.9466278076171875
numRows = 16384, numCols = 16384, numValues = 344064, sparsity = 99.871826171875%, tolerance = 1e-05, totalCycles = 668400, cyclesPerValue = 1.9426618303571428
numRows = 16384, numCols = 16384, numValues = 360448, sparsity = 99.86572265625%, tolerance = 1e-05, totalCycles = 700746, cyclesPerValue = 1.9440973455255681
numRows = 16384, numCols = 16384, numValues = 376832, sparsity = 99.859619140625%, tolerance = 1e-05, totalCycles = 730923, cyclesPerValue = 1.9396521526834238
numRows = 16384, numCols = 16384, numValues = 393216, sparsity = 99.853515625%, tolerance = 1e-05, totalCycles = 764110, cyclesPerValue = 1.9432322184244792
numRows = 16384, numCols = 16384, numValues = 409600, sparsity = 99.847412109375%, tolerance = 1e-05, totalCycles = 795145, cyclesPerValue = 1.94127197265625
numRows = 16384, numCols = 16384, numValues = 425984, sparsity = 99.84130859375%, tolerance = 1e-05, totalCycles = 826992, cyclesPerValue = 1.9413686899038463
numRows = 16384, numCols = 16384, numValues = 442368, sparsity = 99.835205078125%, tolerance = 1e-05, totalCycles = 858668, cyclesPerValue = 1.9410716869212963
numRows = 16384, numCols = 16384, numValues = 458752, sparsity = 99.8291015625%, tolerance = 1e-05, totalCycles = 890055, cyclesPerValue = 1.9401659284319197
numRows = 16384, numCols = 16384, numValues = 475136, sparsity = 99.822998046875%, tolerance = 1e-05, totalCycles = 921593, cyclesPerValue = 1.9396404397898708
numRows = 16384, numCols = 16384, numValues = 491520, sparsity = 99.81689453125%, tolerance = 1e-05, totalCycles = 954458, cyclesPerValue = 1.9418497721354167
numRows = 16384, numCols = 16384, numValues = 507904, sparsity = 99.810791015625%, tolerance = 1e-05, totalCycles = 985410, cyclesPerValue = 1.9401501071068548
numRows = 16384, numCols = 16384, numValues = 524288, sparsity = 99.8046875%, tolerance = 1e-05, totalCycles = 1016827, cyclesPerValue = 1.939443588256836
numRows = 16384, numCols = 16384, numValues = 540672, sparsity = 99.798583984375%, tolerance = 1e-05, totalCycles = 1047076, cyclesPerValue = 1.9366196141098484
numRows = 16384, numCols = 16384, numValues = 557056, sparsity = 99.79248046875%, tolerance = 1e-05, totalCycles = 1079933, cyclesPerValue = 1.9386435116038603
numRows = 16384, numCols = 16384, numValues = 573440, sparsity = 99.786376953125%, tolerance = 1e-05, totalCycles = 1111088, cyclesPerValue = 1.9375837053571427
numRows = 16384, numCols = 16384, numValues = 589824, sparsity = 99.7802734375%, tolerance = 1e-05, totalCycles = 1143547, cyclesPerValue = 1.9387936062282987
numRows = 16384, numCols = 16384, numValues = 606208, sparsity = 99.774169921875%, tolerance = 1e-05, totalCycles = 1174231, cyclesPerValue = 1.9370100691511825
numRows = 16384, numCols = 16384, numValues = 622592, sparsity = 99.76806640625%, tolerance = 1e-05, totalCycles = 1205675, cyclesPerValue = 1.936541105571546
numRows = 16384, numCols = 16384, numValues = 638976, sparsity = 99.761962890625%, tolerance = 1e-05, totalCycles = 1237230, cyclesPerValue = 1.9362699068509615
numRows = 16384, numCols = 16384, numValues = 655360, sparsity = 99.755859375%, tolerance = 1e-05, totalCycles = 1272797, cyclesPerValue = 1.9421340942382812
numRows = 16384, numCols = 16384, numValues = 671744, sparsity = 99.749755859375%, tolerance = 1e-05, totalCycles = 1329326, cyclesPerValue = 1.9789175638338414
numRows = 16384, numCols = 16384, numValues = 688128, sparsity = 99.74365234375%, tolerance = 1e-05, totalCycles = 1422817, cyclesPerValue = 2.0676632835751487
numRows = 16384, numCols = 16384, numValues = 704512, sparsity = 99.737548828125%, tolerance = 1e-05, totalCycles = 1536991, cyclesPerValue = 2.1816392055777616
