Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Tue Dec 31 18:22:28 2024
| Host         : lap-inf133 running 64-bit Ubuntu 24.04.1 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file /janberq/repos/jnbrq/hbmex-sw/results/synth/SpmvExp1_impl3_utilization_hier.post_pr.txt
| Design       : bd_top_wrapper
| Device       : xcu55c-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
----------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                              Instance                                             |                                        Module                                        | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+---------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| bd_top_wrapper                                                                                    |                                                                                (top) |     125360 |      77491 |   47608 |  261 | 62887 |     56 |      0 |    0 |         16 |
|   (bd_top_wrapper)                                                                                |                                                                                (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|   bd_top_i                                                                                        |                                                                               bd_top |     125360 |      77491 |   47608 |  261 | 62887 |     56 |      0 |    0 |         16 |
|     (bd_top_i)                                                                                    |                                                                               bd_top |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|     SpmvExp1_0                                                                                    |                                                                  bd_top_SpmvExp1_0_0 |      88365 |      45400 |   42960 |    5 | 13464 |      0 |      0 |    0 |         16 |
|       (SpmvExp1_0)                                                                                |                                                                  bd_top_SpmvExp1_0_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|       inst                                                                                        |                                                         bd_top_SpmvExp1_0_0_SpmvExp1 |      88365 |      45400 |   42960 |    5 | 13464 |      0 |      0 |    0 |         16 |
|         controlDemux                                                                              |                                                    bd_top_SpmvExp1_0_0_axi4LiteDemux |        195 |        125 |      70 |    0 |    43 |      0 |      0 |    0 |          0 |
|           (controlDemux)                                                                          |                                                    bd_top_SpmvExp1_0_0_axi4LiteDemux |          0 |          0 |       0 |    0 |     7 |      0 |      0 |    0 |          0 |
|           read_portQueue                                                                          |                                                     bd_top_SpmvExp1_0_0_Queue8_UInt2 |         53 |         51 |       2 |    0 |     7 |      0 |      0 |    0 |          0 |
|             (read_portQueue)                                                                      |                                                     bd_top_SpmvExp1_0_0_Queue8_UInt2 |          6 |          6 |       0 |    0 |     7 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                     bd_top_SpmvExp1_0_0_ram_8x2_1007 |         48 |         46 |       2 |    0 |     0 |      0 |      0 |    0 |          0 |
|           s_axil__sinkBuffer                                                                      |                                     bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_3_997 |         23 |          3 |      20 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sinkBuffer)                                                                  |                                     bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_3_997 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                    bd_top_SpmvExp1_0_0_ram_2x34_1006 |         21 |          1 |      20 |    0 |     0 |      0 |      0 |    0 |          0 |
|           s_axil__sinkBuffer_1                                                                    |                                  bd_top_SpmvExp1_0_0_Queue2_WriteResponseChannel_998 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           s_axil__sourceBuffer                                                                    |                                          bd_top_SpmvExp1_0_0_Queue2_AddressChannel_6 |         23 |         13 |      10 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sourceBuffer)                                                                |                                          bd_top_SpmvExp1_0_0_Queue2_AddressChannel_6 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                    bd_top_SpmvExp1_0_0_ram_2x15_1005 |         21 |         11 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|           s_axil__sourceBuffer_1                                                                  |                                      bd_top_SpmvExp1_0_0_Queue2_AddressChannel_6_999 |         26 |         16 |      10 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sourceBuffer_1)                                                              |                                      bd_top_SpmvExp1_0_0_Queue2_AddressChannel_6_999 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                         bd_top_SpmvExp1_0_0_ram_2x15 |         22 |         12 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|           s_axil__sourceBuffer_2                                                                  |                                   bd_top_SpmvExp1_0_0_Queue2_WriteDataChannel_1_1000 |         29 |          5 |      24 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sourceBuffer_2)                                                              |                                   bd_top_SpmvExp1_0_0_Queue2_WriteDataChannel_1_1000 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                    bd_top_SpmvExp1_0_0_ram_2x36_1004 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |    0 |          0 |
|           write_portQueueB                                                                        |                                                bd_top_SpmvExp1_0_0_Queue8_UInt2_1001 |         20 |         18 |       2 |    0 |     7 |      0 |      0 |    0 |          0 |
|             (write_portQueueB)                                                                    |                                                bd_top_SpmvExp1_0_0_Queue8_UInt2_1001 |          6 |          6 |       0 |    0 |     7 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                     bd_top_SpmvExp1_0_0_ram_8x2_1003 |         14 |         12 |       2 |    0 |     0 |      0 |      0 |    0 |          0 |
|           write_portQueueW                                                                        |                                                bd_top_SpmvExp1_0_0_Queue8_UInt2_1002 |         17 |         15 |       2 |    0 |     7 |      0 |      0 |    0 |          0 |
|             (write_portQueueW)                                                                    |                                                bd_top_SpmvExp1_0_0_Queue8_UInt2_1002 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                          bd_top_SpmvExp1_0_0_ram_8x2 |         12 |         10 |       2 |    0 |     0 |      0 |      0 |    0 |          0 |
|         memAdapter0                                                                               |                                                       bd_top_SpmvExp1_0_0_MemAdapter |        308 |        248 |      60 |    0 |   554 |      0 |      0 |    0 |          0 |
|           (memAdapter0)                                                                           |                                                       bd_top_SpmvExp1_0_0_MemAdapter |          0 |          0 |       0 |    0 |   450 |      0 |      0 |    0 |          0 |
|           rdReq__deq_q                                                                            |                                        bd_top_SpmvExp1_0_0_Queue1_AddressChannel_983 |        168 |        168 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|           rdRespQueue_                                                                            |                                       bd_top_SpmvExp1_0_0_Queue1_ReadDataChannel_984 |          0 |          0 |       0 |    0 |    33 |      0 |      0 |    0 |          0 |
|           s_axil__sinkBuffer                                                                      |                                     bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_3_985 |         23 |          3 |      20 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sinkBuffer)                                                                  |                                     bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_3_985 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                     bd_top_SpmvExp1_0_0_ram_2x34_996 |         21 |          1 |      20 |    0 |     0 |      0 |      0 |    0 |          0 |
|           s_axil__sinkBuffer_1                                                                    |                                  bd_top_SpmvExp1_0_0_Queue2_WriteResponseChannel_986 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           s_axil__sourceBuffer                                                                    |                                        bd_top_SpmvExp1_0_0_Queue2_AddressChannel_987 |         13 |          5 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sourceBuffer)                                                                |                                        bd_top_SpmvExp1_0_0_Queue2_AddressChannel_987 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                     bd_top_SpmvExp1_0_0_ram_2x13_995 |          9 |          1 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|           s_axil__sourceBuffer_1                                                                  |                                        bd_top_SpmvExp1_0_0_Queue2_AddressChannel_988 |         13 |          5 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sourceBuffer_1)                                                              |                                        bd_top_SpmvExp1_0_0_Queue2_AddressChannel_988 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                     bd_top_SpmvExp1_0_0_ram_2x13_994 |          9 |          1 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|           s_axil__sourceBuffer_2                                                                  |                                    bd_top_SpmvExp1_0_0_Queue2_WriteDataChannel_1_989 |         29 |          5 |      24 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (s_axil__sourceBuffer_2)                                                              |                                    bd_top_SpmvExp1_0_0_Queue2_WriteDataChannel_1_989 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                     bd_top_SpmvExp1_0_0_ram_2x36_993 |         25 |          1 |      24 |    0 |     0 |      0 |      0 |    0 |          0 |
|           wrReqData__deq_q                                                                        |                                      bd_top_SpmvExp1_0_0_Queue1_WriteDataChannel_990 |         14 |         14 |       0 |    0 |    37 |      0 |      0 |    0 |          0 |
|           wrReq__deq_q                                                                            |                                        bd_top_SpmvExp1_0_0_Queue1_AddressChannel_991 |         46 |         46 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|           wrRespQueue_                                                                            |                                  bd_top_SpmvExp1_0_0_Queue1_WriteResponseChannel_992 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|         responseBuffer                                                                            |                                                 bd_top_SpmvExp1_0_0_ResponseBuffer_3 |       3112 |        568 |    2544 |    0 |   121 |      0 |      0 |    0 |          0 |
|           (responseBuffer)                                                                        |                                                 bd_top_SpmvExp1_0_0_ResponseBuffer_3 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|           read_arrival0_sinkBuffered__sinkBuffer                                                  |                                  bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_7_979 |         27 |          3 |      24 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (read_arrival0_sinkBuffered__sinkBuffer)                                              |                                  bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_7_979 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                     bd_top_SpmvExp1_0_0_ram_2x93_982 |         26 |          2 |      24 |    0 |     0 |      0 |      0 |    0 |          0 |
|           read_arrival1_sinkBuffered__sinkBuffer                                                  |                                       bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_980 |        156 |          4 |     152 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (read_arrival1_sinkBuffered__sinkBuffer)                                              |                                       bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_980 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                    bd_top_SpmvExp1_0_0_ram_2x259_981 |        154 |          2 |     152 |    0 |     0 |      0 |      0 |    0 |          0 |
|           read_arrival1_sourceBuffer                                                              |                                         bd_top_SpmvExp1_0_0_Queue512_ReadDataChannel |       2914 |        546 |    2368 |    0 |   105 |      0 |      0 |    0 |          0 |
|             (read_arrival1_sourceBuffer)                                                          |                                         bd_top_SpmvExp1_0_0_Queue512_ReadDataChannel |         20 |         20 |       0 |    0 |   105 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                      bd_top_SpmvExp1_0_0_ram_512x259 |       2894 |        526 |    2368 |    0 |     0 |      0 |      0 |    0 |          0 |
|           read_ctrR                                                                               |                                                      bd_top_SpmvExp1_0_0_CounterEx_3 |         15 |         15 |       0 |    0 |    10 |      0 |      0 |    0 |          0 |
|         sinkBuffer                                                                                |                                                    bd_top_SpmvExp1_0_0_Queue4_UInt64 |         46 |          6 |      40 |    0 |     5 |      0 |      0 |    0 |          0 |
|           (sinkBuffer)                                                                            |                                                    bd_top_SpmvExp1_0_0_Queue4_UInt64 |          5 |          5 |       0 |    0 |     5 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                         bd_top_SpmvExp1_0_0_ram_4x64 |         41 |          1 |      40 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sinkBuffer_1                                                                              |                                           bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel |        152 |          4 |     148 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sinkBuffer_1)                                                                          |                                           bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                    bd_top_SpmvExp1_0_0_ram_2x259_978 |        148 |          0 |     148 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sinkBuffer_2                                                                              |                                    bd_top_SpmvExp1_0_0_Queue2_WriteResponseChannel_4 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
